accuracy,efficiency,k,distance,policy,weighting,fold
0.8289269051321928,0.5877456665039062,1,chebyshev,majority,relief,satimage-6
0.8289269051321928,0.580132007598877,1,chebyshev,inverse,relief,satimage-6
0.8289269051321928,0.5773043632507324,1,chebyshev,sheppard,relief,satimage-6
0.8304821150855366,0.584862232208252,1,chebyshev,sheppard,relief,satimage-8
0.8304821150855366,0.5719339847564697,1,chebyshev,inverse,relief,satimage-8
0.8304821150855366,0.5750291347503662,1,chebyshev,majority,relief,satimage-8
0.8310077519379845,0.574601411819458,1,chebyshev,majority,relief,satimage-5
0.8310077519379845,0.5708944797515869,1,chebyshev,inverse,relief,satimage-5
0.8310077519379845,0.5702123641967773,1,chebyshev,sheppard,relief,satimage-5
0.8312693498452013,0.5893166065216064,1,chebyshev,majority,relief,satimage-7
0.8312693498452013,0.5796372890472412,1,chebyshev,inverse,relief,satimage-7
0.8312693498452013,0.5768804550170898,1,chebyshev,sheppard,relief,satimage-7
0.834108527131783,0.6323575973510742,1,chebyshev,inverse,relief,satimage-2
0.834108527131783,0.621084451675415,1,chebyshev,majority,relief,satimage-2
0.834108527131783,0.6419534683227539,1,chebyshev,sheppard,relief,satimage-2
0.8367029548989113,0.5773375034332275,3,chebyshev,majority,relief,satimage-8
0.8367029548989113,0.5747191905975342,3,chebyshev,inverse,relief,satimage-8
0.8367029548989113,0.5729472637176514,3,chebyshev,sheppard,relief,satimage-8
0.8398133748055988,0.5719101428985596,5,chebyshev,sheppard,relief,satimage-8
0.8413685847589425,0.578361988067627,5,chebyshev,majority,relief,satimage-8
0.8413685847589425,0.5771656036376953,5,chebyshev,inverse,relief,satimage-8
0.8429237947122862,0.587277889251709,7,chebyshev,sheppard,relief,satimage-8
0.8429237947122862,0.5758497714996338,7,chebyshev,inverse,relief,satimage-8
0.8436532507739938,0.5816495418548584,3,chebyshev,majority,relief,satimage-7
0.8444790046656299,0.5804827213287354,3,chebyshev,majority,relief,satimage-6
0.8449612403100775,0.5782859325408936,7,chebyshev,majority,relief,satimage-5
0.8452012383900929,0.5821912288665771,3,chebyshev,sheppard,relief,satimage-7
0.8452012383900929,0.5839030742645264,3,chebyshev,inverse,relief,satimage-7
0.8460342146189735,0.5774312019348145,7,chebyshev,majority,relief,satimage-8
0.8465116279069768,0.5797703266143799,3,chebyshev,majority,relief,satimage-5
0.8465116279069768,0.5752732753753662,7,chebyshev,inverse,relief,satimage-5
0.8465116279069768,0.5758726596832275,7,chebyshev,sheppard,relief,satimage-5
0.8480620155038759,0.575385332107544,3,chebyshev,inverse,relief,satimage-5
0.8480620155038759,0.6081438064575195,3,chebyshev,sheppard,relief,satimage-5
0.8489096573208723,0.5847911834716797,1,chebyshev,sheppard,relief,satimage-9
0.8489096573208723,0.6319124698638916,1,chebyshev,inverse,relief,satimage-9
0.8489096573208723,0.6172900199890137,1,chebyshev,majority,relief,satimage-9
0.8491446345256609,0.693835973739624,3,chebyshev,sheppard,relief,satimage-6
0.8491446345256609,0.6190800666809082,1,chebyshev,sheppard,mutual_info,satimage-8
0.8491446345256609,0.6331377029418945,3,chebyshev,majority,relief,satimage-0
0.8491446345256609,0.6129045486450195,1,chebyshev,majority,mutual_info,satimage-8
0.8491446345256609,0.6108918190002441,1,chebyshev,inverse,mutual_info,satimage-8
0.8491446345256609,0.6165602207183838,3,chebyshev,inverse,relief,satimage-6
0.8496124031007752,0.5968866348266602,3,chebyshev,sheppard,relief,satimage-2
0.8496124031007752,0.5974140167236328,3,chebyshev,inverse,relief,satimage-2
0.8506998444790047,0.6052660942077637,7,chebyshev,inverse,relief,satimage-0
0.8506998444790047,0.6111347675323486,3,chebyshev,inverse,relief,satimage-0
0.8506998444790047,0.6426458358764648,3,chebyshev,sheppard,relief,satimage-0
0.8506998444790047,0.6219992637634277,7,chebyshev,majority,relief,satimage-0
0.8506998444790047,0.6297402381896973,7,chebyshev,sheppard,relief,satimage-0
0.8511627906976744,0.5950803756713867,3,chebyshev,majority,relief,satimage-2
0.8520249221183801,0.8426709175109863,3,chebyshev,majority,relief,satimage-9
0.8535825545171339,0.5916469097137451,3,chebyshev,sheppard,relief,satimage-9
0.8535825545171339,0.6377613544464111,3,chebyshev,inverse,relief,satimage-9
0.8538102643856921,0.6159143447875977,5,chebyshev,majority,relief,satimage-0
0.8542635658914729,0.577355146408081,7,chebyshev,sheppard,relief,satimage-2
0.8542635658914729,0.5822353363037109,7,chebyshev,inverse,relief,satimage-2
0.8553654743390358,0.5764575004577637,1,chebyshev,inverse,relief,satimage-0
0.8553654743390358,0.5753223896026611,1,chebyshev,majority,relief,satimage-0
0.8553654743390358,0.6067533493041992,5,chebyshev,inverse,relief,satimage-0
0.8553654743390358,0.6296520233154297,5,chebyshev,sheppard,relief,satimage-0
0.8553654743390358,0.595940113067627,1,chebyshev,sheppard,relief,satimage-0
0.8558139534883721,0.5832409858703613,7,chebyshev,majority,relief,satimage-2
0.8558139534883721,0.5798513889312744,5,chebyshev,inverse,relief,satimage-2
0.8558139534883721,0.5768704414367676,5,chebyshev,sheppard,relief,satimage-2
0.8566978193146417,0.5713152885437012,1,chebyshev,inverse,relief,satimage-4
0.8566978193146417,0.5663647651672363,1,chebyshev,sheppard,relief,satimage-4
0.8566978193146417,0.5734305381774902,1,chebyshev,majority,relief,satimage-4
0.8569206842923794,0.6037702560424805,1,chebyshev,majority,relief,satimage-1
0.8569206842923794,0.6054790019989014,1,chebyshev,inverse,relief,satimage-1
0.8569206842923794,0.7386839389801025,7,chebyshev,majority,uniform,satimage-8
0.8569206842923794,0.5958201885223389,1,chebyshev,sheppard,relief,satimage-1
0.8569206842923794,0.5799586772918701,7,chebyshev,majority,relief,satimage-6
0.8569206842923794,0.5763394832611084,7,chebyshev,inverse,relief,satimage-6
0.8573643410852713,0.5796515941619873,5,chebyshev,majority,relief,satimage-2
0.8584758942457231,0.5859026908874512,7,chebyshev,inverse,relief,satimage-3
0.8584758942457231,0.573676347732544,7,chebyshev,sheppard,relief,satimage-6
0.8584758942457231,0.6096434593200684,3,chebyshev,majority,uniform,satimage-8
0.8584758942457231,0.6481800079345703,3,chebyshev,inverse,uniform,satimage-8
0.8584758942457231,0.6208186149597168,3,chebyshev,sheppard,uniform,satimage-8
0.8584758942457231,0.6313338279724121,7,chebyshev,sheppard,mutual_info,satimage-8
0.8589147286821706,0.5763075351715088,5,chebyshev,inverse,relief,satimage-5
0.8589147286821706,0.5723564624786377,5,chebyshev,sheppard,relief,satimage-5
0.8600311041990669,0.6098809242248535,7,chebyshev,inverse,mutual_info,satimage-8
0.8600311041990669,0.6525068283081055,3,chebyshev,sheppard,mutual_info,satimage-8
0.8600311041990669,0.796684980392456,3,chebyshev,inverse,mutual_info,satimage-8
0.8600311041990669,0.6133162975311279,7,chebyshev,majority,mutual_info,satimage-8
0.8600311041990669,0.5869762897491455,7,chebyshev,sheppard,relief,satimage-3
0.8604651162790697,0.5754051208496094,5,chebyshev,majority,relief,satimage-5
0.8606811145510835,0.7899346351623535,5,chebyshev,majority,relief,satimage-7
0.8615863141524106,0.5754692554473877,1,chebyshev,inverse,relief,satimage-3
0.8615863141524106,0.5774681568145752,1,chebyshev,majority,relief,satimage-3
0.8615863141524106,0.5764055252075195,1,chebyshev,sheppard,relief,satimage-3
0.8622291021671826,0.6280796527862549,7,chebyshev,inverse,relief,satimage-7
0.8622291021671826,1.0432839393615723,5,chebyshev,inverse,relief,satimage-7
0.8631415241057543,0.8176612854003906,3,chebyshev,majority,mutual_info,satimage-8
0.8631415241057543,0.6732177734375,7,chebyshev,sheppard,uniform,satimage-8
0.8631415241057543,0.43459224700927734,7,2-norm,majority,relief,satimage-0
0.8635658914728682,0.7155036926269531,1,chebyshev,inverse,uniform,satimage-5
0.8635658914728682,1.0696923732757568,1,chebyshev,majority,uniform,satimage-5
0.8635658914728682,0.6265044212341309,1,chebyshev,sheppard,uniform,satimage-5
0.8635658914728682,0.6074395179748535,1,chebyshev,sheppard,uniform,satimage-2
0.8635658914728682,0.6308248043060303,1,chebyshev,majority,uniform,satimage-2
0.8635658914728682,0.6131319999694824,1,chebyshev,inverse,uniform,satimage-2
0.8637770897832817,0.5869925022125244,7,chebyshev,sheppard,relief,satimage-7
0.8637770897832817,0.647768497467041,7,chebyshev,majority,relief,satimage-7
0.8637770897832817,0.6837897300720215,5,chebyshev,sheppard,relief,satimage-7
0.864696734059098,0.6100406646728516,5,chebyshev,majority,mutual_info,satimage-8
0.864696734059098,0.6138753890991211,5,chebyshev,inverse,mutual_info,satimage-8
0.864696734059098,0.6092650890350342,5,chebyshev,sheppard,mutual_info,satimage-8
0.864696734059098,0.5883967876434326,7,chebyshev,majority,relief,satimage-3
0.8651162790697674,0.6140093803405762,1,chebyshev,majority,mutual_info,satimage-5
0.8651162790697674,0.6055917739868164,1,chebyshev,inverse,mutual_info,satimage-5
0.8651162790697674,0.6045010089874268,1,chebyshev,sheppard,mutual_info,satimage-5
0.8662519440124417,0.4356820583343506,7,2-norm,sheppard,relief,satimage-0
0.8662519440124417,0.6264302730560303,5,chebyshev,sheppard,relief,satimage-6
0.8662519440124417,0.7171652317047119,5,chebyshev,inverse,relief,satimage-6
0.8662519440124417,0.6307053565979004,5,chebyshev,majority,relief,satimage-6
0.8662519440124417,0.5926754474639893,3,chebyshev,inverse,relief,satimage-1
0.8662519440124417,0.5958428382873535,5,chebyshev,majority,relief,satimage-1
0.8662519440124417,0.6737313270568848,7,chebyshev,inverse,uniform,satimage-8
0.8662519440124417,0.6103131771087646,3,chebyshev,sheppard,relief,satimage-1
0.8662519440124417,0.6118266582489014,1,chebyshev,sheppard,uniform,satimage-8
0.8662519440124417,0.630180835723877,1,chebyshev,inverse,uniform,satimage-8
0.8662519440124417,0.6269114017486572,1,chebyshev,majority,uniform,satimage-8
0.8678071539657853,0.6337869167327881,5,chebyshev,majority,uniform,satimage-8
0.8678071539657853,0.4263310432434082,7,2-norm,inverse,relief,satimage-0
0.8678071539657853,0.6948740482330322,3,chebyshev,majority,relief,satimage-1
0.8682170542635659,0.4378492832183838,3,2-norm,inverse,relief,satimage-5
0.8682170542635659,0.4236288070678711,3,2-norm,sheppard,relief,satimage-5
0.8693623639191291,0.5862326622009277,5,chebyshev,inverse,relief,satimage-1
0.8693623639191291,0.577594518661499,5,chebyshev,sheppard,relief,satimage-1
0.8693623639191291,0.6190400123596191,5,chebyshev,sheppard,uniform,satimage-8
0.8693623639191291,0.6498408317565918,5,chebyshev,inverse,uniform,satimage-8
0.8693623639191291,0.42824673652648926,1,2-norm,sheppard,relief,satimage-1
0.8693623639191291,0.45986461639404297,1,2-norm,inverse,relief,satimage-1
0.8693623639191291,0.46260738372802734,1,2-norm,majority,relief,satimage-1
0.8697674418604651,0.43465089797973633,3,2-norm,majority,relief,satimage-5
0.8697674418604651,0.6118645668029785,5,chebyshev,sheppard,uniform,satimage-2
0.8697674418604651,0.621239185333252,5,chebyshev,inverse,uniform,satimage-2
0.8697674418604651,0.6195058822631836,7,chebyshev,inverse,uniform,satimage-2
0.8697674418604651,0.6099469661712646,7,chebyshev,sheppard,uniform,satimage-2
0.8707165109034268,0.5719614028930664,5,chebyshev,inverse,relief,satimage-4
0.8707165109034268,0.5666396617889404,5,chebyshev,sheppard,relief,satimage-4
0.8709175738724728,0.6618034839630127,7,chebyshev,majority,uniform,satimage-0
0.8709175738724728,0.5953671932220459,7,chebyshev,inverse,relief,satimage-1
0.8722741433021807,0.6085653305053711,7,chebyshev,inverse,relief,satimage-9
0.8722741433021807,0.5688703060150146,5,chebyshev,majority,relief,satimage-4
0.8724727838258165,0.6071014404296875,7,chebyshev,sheppard,relief,satimage-1
0.8724727838258165,0.5807404518127441,3,chebyshev,inverse,relief,satimage-3
0.8724727838258165,0.5746240615844727,3,chebyshev,sheppard,relief,satimage-3
0.8728682170542635,0.43912386894226074,1,2-norm,inverse,relief,satimage-2
0.8728682170542635,0.43070435523986816,1,2-norm,sheppard,relief,satimage-2
0.8728682170542635,0.6112887859344482,3,chebyshev,majority,mutual_info,satimage-2
0.8728682170542635,0.6198751926422119,5,chebyshev,majority,uniform,satimage-2
0.8728682170542635,0.4182143211364746,1,2-norm,majority,relief,satimage-5
0.8728682170542635,0.41977620124816895,1,2-norm,inverse,relief,satimage-5
0.8728682170542635,0.4158594608306885,1,2-norm,sheppard,relief,satimage-5
0.8728682170542635,0.43903231620788574,1,2-norm,majority,relief,satimage-2
0.8738317757009346,0.6252696514129639,7,chebyshev,sheppard,relief,satimage-9
0.8740279937791602,0.6127712726593018,7,chebyshev,inverse,uniform,satimage-0
0.8740279937791602,0.6003727912902832,7,chebyshev,majority,relief,satimage-1
0.8740279937791602,0.6158850193023682,3,chebyshev,majority,uniform,satimage-0
0.8740279937791602,0.6169290542602539,7,chebyshev,sheppard,mutual_info,satimage-6
0.8740279937791602,0.4401876926422119,1,2-norm,inverse,relief,satimage-8
0.8740279937791602,0.4162583351135254,1,2-norm,sheppard,relief,satimage-8
0.8740279937791602,0.4589850902557373,1,2-norm,majority,relief,satimage-8
0.8740279937791602,0.5839855670928955,5,chebyshev,sheppard,relief,satimage-3
0.8740279937791602,0.6518993377685547,3,chebyshev,inverse,uniform,satimage-0
0.8740279937791602,0.6685740947723389,3,chebyshev,sheppard,uniform,satimage-0
0.8740279937791602,0.6057438850402832,7,chebyshev,sheppard,uniform,satimage-0
0.8740279937791602,0.5982575416564941,5,chebyshev,inverse,relief,satimage-3
0.8744186046511628,0.6188945770263672,3,chebyshev,inverse,uniform,satimage-2
0.8744186046511628,0.6176588535308838,7,chebyshev,majority,uniform,satimage-2
0.8744186046511628,0.616995096206665,3,chebyshev,sheppard,uniform,satimage-2
0.8744186046511628,0.6115367412567139,7,chebyshev,majority,mutual_info,satimage-5
0.8753894080996885,0.5688629150390625,3,chebyshev,sheppard,relief,satimage-4
0.8753894080996885,0.6627860069274902,3,chebyshev,majority,relief,satimage-4
0.8753894080996885,0.5708718299865723,3,chebyshev,inverse,relief,satimage-4
0.8755832037325039,0.6186792850494385,7,chebyshev,majority,mutual_info,satimage-6
0.8755832037325039,0.42020630836486816,3,2-norm,inverse,relief,satimage-8
0.8755832037325039,0.4187281131744385,3,2-norm,sheppard,relief,satimage-8
0.875968992248062,0.6066422462463379,3,chebyshev,inverse,mutual_info,satimage-5
0.875968992248062,0.42101478576660156,7,2-norm,inverse,relief,satimage-5
0.875968992248062,0.6108160018920898,3,chebyshev,inverse,mutual_info,satimage-2
0.875968992248062,0.6076769828796387,3,chebyshev,sheppard,mutual_info,satimage-2
0.875968992248062,0.4189176559448242,5,2-norm,sheppard,relief,satimage-5
0.875968992248062,0.4251894950866699,5,2-norm,inverse,relief,satimage-5
0.875968992248062,0.6249611377716064,3,chebyshev,sheppard,mutual_info,satimage-5
0.875968992248062,0.6109013557434082,7,chebyshev,sheppard,mutual_info,satimage-5
0.875968992248062,0.6288290023803711,3,chebyshev,majority,uniform,satimage-5
0.875968992248062,0.6253931522369385,3,chebyshev,majority,uniform,satimage-2
0.8761609907120743,0.665637731552124,1,chebyshev,majority,mutual_info,satimage-7
0.8761609907120743,0.6779301166534424,1,chebyshev,inverse,mutual_info,satimage-7
0.8761609907120743,0.7061171531677246,1,chebyshev,sheppard,mutual_info,satimage-7
0.8771384136858476,0.4207589626312256,1,2-norm,inverse,relief,satimage-3
0.8771384136858476,0.5874166488647461,5,chebyshev,majority,relief,satimage-3
0.8771384136858476,0.4194207191467285,3,2-norm,majority,relief,satimage-8
0.8771384136858476,0.41680335998535156,1,2-norm,sheppard,relief,satimage-3
0.8771384136858476,0.5798525810241699,3,chebyshev,majority,relief,satimage-3
0.8771384136858476,0.4209885597229004,1,2-norm,majority,relief,satimage-3
0.8771384136858476,0.6176033020019531,7,chebyshev,inverse,mutual_info,satimage-6
0.8771384136858476,0.6082255840301514,5,chebyshev,sheppard,uniform,satimage-0
0.8771384136858476,0.6084563732147217,1,chebyshev,sheppard,uniform,satimage-0
0.8771384136858476,0.6282458305358887,1,chebyshev,inverse,uniform,satimage-0
0.8771384136858476,0.6192529201507568,1,chebyshev,majority,uniform,satimage-0
0.8771384136858476,0.6067249774932861,5,chebyshev,inverse,uniform,satimage-0
0.8771384136858476,0.6141338348388672,5,chebyshev,majority,uniform,satimage-0
0.8775193798449612,0.6123602390289307,3,chebyshev,sheppard,uniform,satimage-5
0.8775193798449612,0.423586368560791,5,2-norm,majority,relief,satimage-5
0.8775193798449612,0.6087584495544434,5,chebyshev,sheppard,mutual_info,satimage-5
0.8775193798449612,0.6114296913146973,3,chebyshev,majority,mutual_info,satimage-5
0.8775193798449612,0.6150860786437988,3,chebyshev,inverse,uniform,satimage-5
0.8775193798449612,0.6108019351959229,5,chebyshev,majority,mutual_info,satimage-5
0.8775193798449612,0.6111841201782227,7,chebyshev,inverse,mutual_info,satimage-5
0.8775193798449612,0.6125731468200684,5,chebyshev,inverse,mutual_info,satimage-5
0.8775193798449612,0.42141222953796387,7,2-norm,sheppard,relief,satimage-5
0.8785046728971962,0.4639246463775635,1,2-norm,inverse,relief,satimage-9
0.8785046728971962,0.451352596282959,1,2-norm,sheppard,relief,satimage-9
0.8785046728971962,0.5953209400177002,5,chebyshev,majority,relief,satimage-9
0.8785046728971962,0.4853246212005615,1,2-norm,majority,relief,satimage-9
0.8785046728971962,0.5990593433380127,7,chebyshev,majority,relief,satimage-9
0.8786936236391913,0.6407794952392578,5,chebyshev,majority,mutual_info,satimage-0
0.8786936236391913,0.6212704181671143,1,chebyshev,majority,mutual_info,satimage-0
0.8786936236391913,0.42313265800476074,5,2-norm,majority,relief,satimage-0
0.8786936236391913,0.6112420558929443,7,chebyshev,majority,uniform,satimage-3
0.8786936236391913,0.6618103981018066,1,chebyshev,sheppard,mutual_info,satimage-0
0.8786936236391913,0.6219682693481445,1,chebyshev,inverse,mutual_info,satimage-0
0.8790697674418605,0.6161377429962158,5,chebyshev,majority,mutual_info,satimage-2
0.8800623052959502,0.5913934707641602,5,chebyshev,sheppard,relief,satimage-9
0.8800623052959502,0.5790252685546875,5,chebyshev,inverse,relief,satimage-9
0.880248833592535,0.6113922595977783,7,chebyshev,sheppard,uniform,satimage-3
0.880248833592535,0.4825577735900879,5,2-norm,sheppard,relief,satimage-0
0.880248833592535,0.6158344745635986,7,chebyshev,inverse,uniform,satimage-3
0.8806201550387597,0.41927528381347656,5,2-norm,sheppard,relief,satimage-2
0.8806201550387597,0.6127030849456787,1,chebyshev,majority,mutual_info,satimage-2
0.8806201550387597,0.44036245346069336,5,2-norm,inverse,relief,satimage-2
0.8806201550387597,0.6101484298706055,5,chebyshev,sheppard,mutual_info,satimage-2
0.8806201550387597,0.6113131046295166,1,chebyshev,inverse,mutual_info,satimage-2
0.8806201550387597,0.4528472423553467,5,2-norm,majority,relief,satimage-2
0.8806201550387597,0.6060869693756104,1,chebyshev,sheppard,mutual_info,satimage-2
0.8808049535603715,0.42914843559265137,3,2-norm,majority,relief,satimage-7
0.881619937694704,0.6260042190551758,1,chebyshev,sheppard,uniform,satimage-9
0.881619937694704,0.6127429008483887,1,chebyshev,inverse,uniform,satimage-9
0.881619937694704,0.6255843639373779,1,chebyshev,majority,uniform,satimage-9
0.8818040435458787,0.6331140995025635,5,chebyshev,inverse,mutual_info,satimage-0
0.8818040435458787,0.6514363288879395,5,chebyshev,sheppard,mutual_info,satimage-0
0.8818040435458787,0.43370509147644043,5,2-norm,inverse,relief,satimage-0
0.8818040435458787,0.4499342441558838,7,2-norm,majority,mutual_info,satimage-0
0.8818040435458787,0.4739859104156494,1,1-norm,majority,relief,satimage-8
0.8818040435458787,0.6077427864074707,3,chebyshev,sheppard,mutual_info,satimage-1
0.8818040435458787,0.6038732528686523,5,chebyshev,inverse,uniform,satimage-3
0.8818040435458787,0.4732840061187744,1,1-norm,sheppard,relief,satimage-8
0.8818040435458787,0.45661401748657227,1,1-norm,inverse,relief,satimage-8
0.8818040435458787,0.4268631935119629,7,2-norm,sheppard,mutual_info,satimage-0
0.8818040435458787,0.6208624839782715,7,chebyshev,majority,mutual_info,satimage-0
0.8818040435458787,0.6172449588775635,7,chebyshev,sheppard,mutual_info,satimage-0
0.8818040435458787,0.6120176315307617,3,chebyshev,majority,mutual_info,satimage-1
0.8818040435458787,0.6081221103668213,3,chebyshev,inverse,mutual_info,satimage-1
0.8821705426356589,0.4197256565093994,7,2-norm,majority,relief,satimage-5
0.8821705426356589,0.6148805618286133,7,chebyshev,sheppard,mutual_info,satimage-2
0.8821705426356589,0.6136014461517334,7,chebyshev,inverse,mutual_info,satimage-2
0.8821705426356589,0.6103389263153076,5,chebyshev,inverse,mutual_info,satimage-2
0.883177570093458,0.5688133239746094,7,chebyshev,majority,relief,satimage-4
0.8833592534992224,0.41797542572021484,1,2-norm,inverse,relief,satimage-0
0.8833592534992224,0.6083545684814453,5,chebyshev,majority,uniform,satimage-3
0.8833592534992224,0.7072441577911377,5,chebyshev,majority,mutual_info,satimage-6
